"Serotype","Latitude","Longitude","Diagnosis.status","Animal.type","Species","Observation_date","Host_category"
"H5 HPAI",49.397414,0.201732,"Confirmed","Domestic","Unspecified Bird",2024-12-27,"poultry"
"H5 HPAI",49.3585,10.5473,"Confirmed","Domestic","Unspecified Bird",2024-12-23,"poultry"
"H5 HPAI",49.259543,0.518298,"Confirmed","Domestic","Unspecified Bird",2024-12-23,"poultry"
"H5N5 HPAI",69.9389,22.0472,"Confirmed","Wild","Unspecified Mammal",2024-12-19,"wild_mammal"
"H5 HPAI",-7.21658,-78.44998,"Confirmed","Domestic","Cattle",2024-12-17,"domestic_mammal"
"H5 HPAI",35.728056,126.731944,"Confirmed","Domestic","Duck",2024-12-13,"poultry"
"HPAI",33.916667,133.183333,"Confirmed","Domestic","Chicken",2024-12-08,"poultry"
"H5N5 HPAI",63.9465,-21.1677,"Confirmed","Domestic","Unspecified Bird",2024-12-02,"poultry"
"H5N5 HPAI",55.166667,-2,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-11-26,"wild_bird"
"H5N5 HPAI",46.25,-63.11,"Confirmed","Wild","Red Fox",2024-11-26,"wild_mammal"
"H5N5 HPAI",58.766,5.5488,"Confirmed","Wild","Laridae (Unidentified):Laridae (Incognita)(Laridae)",2024-11-24,"wild_bird"
"H7N6 HPAI",-45.38234,170.82806,"Confirmed","Domestic","Chicken",2024-11-23,"poultry"
"H7N3 LPAI",22.883611,120.200694,"Confirmed","Environmental sample","Unspecified Bird",2024-11-23,"environment"
"H7N3 LPAI",22.883611,120.200694,"Confirmed","Environmental sample","Unspecified Bird",2024-11-23,"environment"
"H5N5 HPAI",70.6174,29.7172,"Confirmed","Wild","Hooded Crow (Corvus Cornix)",2024-11-22,"wild_bird"
"H5N5 HPAI",66.06,-17.35,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-11-22,"wild_bird"
"H5N5 HPAI",64.15,-21.95,"Confirmed","Wild","Black Headed Gull (Chroicocephalus Ridibundus)",2024-11-20,"wild_bird"
"H5 HPAI",8.323667,-77.200839,"Confirmed","Domestic","Unspecified Bird",2024-11-19,"poultry"
"H5N5 HPAI",64.1,-21.91,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-11-19,"wild_bird"
"H5N5 HPAI",64.13,-21.93,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-11-19,"wild_bird"
"H5N5 HPAI",46.25,-63.11,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-11-18,"wild_bird"
"H5 HPAI",52.263154,5.538672,"Confirmed","Domestic","Unspecified Bird",2024-11-17,"poultry"
"H5N2 HPAI",49.021,-122.28,"Confirmed","Domestic","Unspecified Bird",2024-11-16,"poultry"
"H5N5 HPAI",64.14,-21.82,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-11-13,"wild_bird"
"H5N5 HPAI",56.84,-2.59,"Confirmed","Wild","Kite",2024-11-13,"wild_bird"
"H5N5 HPAI",54.47,-1.84,"Confirmed","Wild","Phasianus Colchicus (Common Pheasant) - Phasanidae",2024-11-13,"wild_bird"
"H5N5 HPAI",52.87,-0.24,"Confirmed","Wild","Barn Owl (Tyto Alba)",2024-11-11,"wild_bird"
"H5 HPAI",37,127.583,"Confirmed","Domestic","Duck",2024-11-07,"poultry"
"HPAI",35.566667,126.85,"Confirmed","Wild","Unspecified Bird",2024-11-05,"wild_bird"
"H5 HPAI",43.597029,-1.195882,"Confirmed","Domestic","Unspecified Bird",2024-11-05,"poultry"
"H5N5 HPAI",54.94,-1.9,"Confirmed","Wild","Kite",2024-11-04,"wild_bird"
"H5 HPAI",47.956704,-2.8741,"Confirmed","Domestic","Unspecified Bird",2024-11-01,"poultry"
"H5 HPAI",46.619067,2.954509,"Confirmed","Domestic","Unspecified Bird",2024-11-01,"poultry"
"H5N5 HPAI",64.15,-21.95,"Confirmed","Wild","Laridae (Unidentified):Laridae (Incognita)(Laridae)",2024-11-01,"wild_bird"
"HPAI",-51.75,-57.97,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-10-31,"wild_bird"
"HPAI",-52.102,-60.84,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-10-31,"wild_bird"
"HPAI",-51.6927,-57.7741,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-10-30,"wild_bird"
"HPAI",-52.43,-59.12,"Confirmed","Wild","South American Sea Lion (Otaria Flavescens)",2024-10-30,"wild_mammal"
"H5N5 HPAI",43.65,-79.39,"Confirmed","Wild","Turkey Vulture (Cathartes Aura)",2024-10-30,"wild_bird"
"H5N3 LPAI",37.0505,140.887722,"Confirmed","Wild","Spot-Billed Duck:anas Poecilorhyncha(Anatidae)",2024-10-26,"wild_bird"
"H5 HPAI",47.612543,-2.435827,"Confirmed","Domestic","Unspecified Bird",2024-10-25,"poultry"
"H5N5 HPAI",56.94,-7.55,"Confirmed","Wild","Gull",2024-10-24,"wild_bird"
"H5N5 HPAI",53.32,-0.19,"Confirmed","Wild","Buzzard",2024-10-24,"wild_bird"
"H5 HPAI",47.634492,-2.456869,"Confirmed","Domestic","Unspecified Bird",2024-10-23,"poultry"
"H5 HPAI",47.94514,-2.801337,"Confirmed","Domestic","Unspecified Bird",2024-10-22,"poultry"
"H5N5 HPAI",62.104,-6.7198,"Confirmed","Wild","Hooded Crow (Corvus Cornix)",2024-10-21,"wild_bird"
"H5N5 HPAI",55.127,-1.523,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-20,"wild_bird"
"H5N5 HPAI",55.3306,-1.5783,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-20,"wild_bird"
"H5N5 HPAI",54.959,-1.438,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-20,"wild_bird"
"H5N5 HPAI",55.3306,-1.5783,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-10-20,"wild_bird"
"H5N5 HPAI",55.953333,-3.189167,"Confirmed","Wild","Northern Gannet:morus Bassanus(Sulidae)",2024-10-20,"wild_bird"
"H5N5 HPAI",58.0681,-6.805,"Confirmed","Wild","White Tailed Eagle (Haliaeetus Albicilla)",2024-10-20,"wild_bird"
"H5N5 HPAI",56.25,-3.2,"Confirmed","Wild","Gull",2024-10-20,"wild_bird"
"H5N5 HPAI",52.14,-1.92,"Confirmed","Wild","Buzzard",2024-10-18,"wild_bird"
"HPAI",66.7535,13.6133,"Confirmed","Wild","White Tailed Eagle (Haliaeetus Albicilla)",2024-10-15,"wild_bird"
"H5N5 HPAI",52.933333,1.3,"Confirmed","Wild","Great Cormorant (Phalacrocorax Carbo)",2024-10-13,"wild_bird"
"H5N5 HPAI",57.5,-5,"Confirmed","Wild","Northern Fulmar (Fulmarus Glacialis)",2024-10-13,"wild_bird"
"H5N5 HPAI",57.5,-5,"Confirmed","Wild","Northern Gannet:morus Bassanus(Sulidae)",2024-10-13,"wild_bird"
"H5N5 HPAI",54.91,-1.385,"Confirmed","Wild","Black Headed Gull (Chroicocephalus Ridibundus)",2024-10-13,"wild_bird"
"H5N5 HPAI",55.916667,-2.75,"Confirmed","Wild","Great Skua (Stercorarius Skua)",2024-10-13,"wild_bird"
"H5N5 HPAI",55.127,-1.523,"Confirmed","Wild","Haematopodidae (Unidentified):Haematopodidae (Incognita)(Haematopodidae)",2024-10-13,"wild_bird"
"H5N5 HPAI",53.916667,-0.5,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-13,"wild_bird"
"H5N5 HPAI",55.3306,-1.5783,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-10-13,"wild_bird"
"H5 HPAI",48.629736,-3.91038,"Confirmed","Domestic","Unspecified Bird",2024-10-12,"poultry"
"H5N5 HPAI",52.3,-3.8,"Confirmed","Wild","Mallard:anas Platyrhynchos(Anatidae)",2024-10-11,"wild_bird"
"H5N5 HPAI",47.585,-52.7,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-10-11,"wild_bird"
"HPAI",69.2679,17.54,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-10,"wild_bird"
"H5N5 HPAI",55.95,-3.1,"Confirmed","Wild","Sulids (Sulidae)",2024-10-10,"wild_bird"
"H5N5 HPAI",55,-1.43,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-09,"wild_bird"
"H5N5 HPAI",60.5873579468,-72.7290349649,"Confirmed","Wild","Ringed Seal (Pusa Hispida)",2024-10-09,"wild_mammal"
"H5N5 HPAI",58.36,-6.36,"Confirmed","Wild","White Tailed Eagle (Haliaeetus Albicilla)",2024-10-08,"wild_bird"
"HPAI",70.3731,30.9245,"Confirmed","Wild","Gull",2024-10-07,"wild_bird"
"HPAI",70.3731,30.9245,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-07,"wild_bird"
"H5N5 HPAI",63.98054,-20.98378,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-10-07,"wild_bird"
"H5 HPAI",-6.51035,-79.95674,"Confirmed","Domestic","Unspecified Bird",2024-10-07,"poultry"
"H5 HPAI",51.171007,2.773749,"Confirmed","Wild","Mew Gull (Larus Canus)",2024-10-05,"wild_bird"
"H5N5 HPAI",51.171007,2.773749,"Confirmed","Wild","Mew Gull (Larus Canus)",2024-10-05,"wild_bird"
"H5N5 HPAI",55.25,-1.56,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-04,"wild_bird"
"H5N5 HPAI",55.25,-1.56,"Confirmed","Wild","Gull",2024-10-04,"wild_bird"
"H5N5 HPAI",53.92,-0.36,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-04,"wild_bird"
"H5N5 HPAI",52.78,1.6,"Confirmed","Wild","Cormorant",2024-10-02,"wild_bird"
"H5N3 HPAI",35.920673,126.84683,"Confirmed","Environmental sample","Unspecified Env. Sample",2024-10-02,"environment"
"H5N5 HPAI",52.58,0.66,"Confirmed","Wild","Kite",2024-10-02,"wild_bird"
"H5N5 HPAI",55.08,-1.47,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-02,"wild_bird"
"H5N5 HPAI",54.9,-1.48,"Confirmed","Wild","Gull",2024-10-02,"wild_bird"
"H5N3 HPAI",35.89165,126.625969,"Confirmed","Wild","Northern Pintail (Anas Acuta)",2024-10-02,"wild_bird"
"H5N5 HPAI",53,7,"Confirmed","Wild","Unspecified Bird",2024-10-01,"wild_bird"
"H5N5 HPAI",65.58468,-14.0066,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-10-01,"wild_bird"
"H5 HPAI",41.968438,140.13612,"Confirmed","Wild","Peregrin Falcon:falco Peregrinus(Falconidae)",2024-09-30,"wild_bird"
